IndicatorID,ThresholdCategory,ThresholdReportingCategory,IndicatorName,Status2011,Trend2011,Confidence2011,Status2015,Trend2015,Confidence2015,Status2019,Trend2019,Confidence2019,Status2023,Trend2023,Confidence2023
152,Vegetation Preservation,Sensitive Plants,Galena Rock Cress (Arabis Rigidissima V. Demote),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Considerably Worse Than Target,Little or No Change,Low,Considerably Worse Than Target,Little or No Change,,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low
153,Vegetation Preservation,Sensitive Plants,Long-Petaled Lewisia (Lewisia pygmaea longipetala),Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Low,Considerably Better Than Target,Little or No Change,Moderate
154,Vegetation Preservation,Sensitive Plants,Tahoe Draba (Draba asterophora var. asterophora),Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,Low,Considerably Better Than Target,Little or No Change,Moderate
155,Vegetation Preservation,Sensitive Plants,Tahoe Yellow Cress (Rorippa Subumbellata),Considerably Better Than Target,Moderate Improvement,High,Considerably Better Than Target,Moderate Improvement,High,Somewhat Worse Than Target,Little or No Change,Moderate,,,
156,Vegetation Preservation,Uncommon Plant Communities,Grass Lake (sphagnum fen),At or Somewhat Better Than Target,Little or No Change,Moderate,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
157,Vegetation Preservation,Uncommon Plant Communities,Deepwater Plants of Lake Tahoe,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low,Considerably Worse Than Target,Insufficient Data to Determine Trend,Low
158,Vegetation Preservation,Uncommon Plant Communities,Freel Peak Cushion Plant Community,At or Somewhat Better Than Target,Little or No Change,Low,Somewhat Worse Than Target,Rapid Decline,Low,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low,At or Somewhat Better Than Target,Little or No Change,Moderate
159,Vegetation Preservation,Uncommon Plant Communities,Hell Hole (sphagnum fen),At or Somewhat Better Than Target,Little or No Change,Moderate,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
160,Vegetation Preservation,Uncommon Plant Communities,Osgood Swamp,Somewhat Worse Than Target,Moderate Decline,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
161,Vegetation Preservation,Uncommon Plant Communities,Pope Marsh,Somewhat Worse Than Target,Little or No Change,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
162,Vegetation Preservation,Uncommon Plant Communities,Taylor Creek Marsh,At or Somewhat Better Than Target,Little or No Change,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
163,Vegetation Preservation,Uncommon Plant Communities,Upper Truckee Marsh,Somewhat Worse Than Target,Little or No Change,Low,Somewhat Worse Than Target,Little or No Change,Low,,,,,,
164,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Abundance,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,High,,,
165,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Distribution,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,High,,,
166,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Ecological Impacts,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,
167,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Economic Impacts,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,
168,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Prevention,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,At or Somewhat Better Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Little or No Change,High,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Moderate
169,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Public Health Impacts,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,
170,Water Quality,Aquatic Invasive Species,Aquatic Invasive Species Social  Impacts,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,
171,Water Quality,Nearshore (Littoral) Lake Tahoe,Nearshore Attached Algae,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Little or No Change,Low,Insufficient Data to Determine Status or No Target Established,Little or No Change,Moderate,Insufficient Data to Determine Status or No Target Established,Little or No Change,Moderate
172,Water Quality,Deep Water (Pelagic) Lake Tahoe,Average Secchi Disk Transparency,Somewhat Worse Than Target,Moderate Decline,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate,Somewhat Worse Than Target,Little or No Change,High
173,Water Quality,Deep Water (Pelagic) Lake Tahoe,Pelagic Iron Loading - Pp & Clarity,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
174,Water Quality,Deep Water (Pelagic) Lake Tahoe,Pelagic Nitrogen  Loading - Pp & Clarity,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
175,Water Quality,Deep Water (Pelagic) Lake Tahoe,Pelagic Nitrogen  Loading Atmospheric Sources,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
176,Water Quality,Deep Water (Pelagic) Lake Tahoe,Pelagic Nitrogen  Loading Groundwater,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
177,Water Quality,Deep Water (Pelagic) Lake Tahoe,Pelagic Nitrogen  Loading Surface Runoff,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
178,Water Quality,Deep Water (Pelagic) Lake Tahoe,Pelagic Nitrogen Loading,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
179,Water Quality,Deep Water (Pelagic) Lake Tahoe,Pelagic Phosphorus Loading - Pp & Clarity,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
180,Water Quality,Deep Water (Pelagic) Lake Tahoe,Phytoplankton Primary Productivity (Pelagic),Considerably Worse Than Target,Rapid Decline,High,Considerably Worse Than Target,Rapid Decline,High,Considerably Worse Than Target,Moderate Decline,High,Considerably Worse Than Target,Rapid Decline,High
181,Water Quality,Deep Water (Pelagic) Lake Tahoe,Recognition of Threshold Standard Exceedance,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
182,Water Quality,Deep Water (Pelagic) Lake Tahoe,Clarity - Vertical Extinction Coefficient (VEC),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,At or Somewhat Better Than Target,Little or No Change,Moderate,Considerably Worse Than Target,Little or No Change,High,,,
183,Water Quality,Groundwater,Discharge To Groundwater - Iron,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
184,Water Quality,Groundwater,Discharge To Groundwater - Nitrogen,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
185,Water Quality,Groundwater,Discharge To Groundwater - Phosphorus,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
186,Water Quality,Groundwater,Discharge To Groundwater - Turbidity,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
187,Water Quality,Groundwater,Discharge To Groundwater- Grease And Oil,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
188,Water Quality,Groundwater,Discharge To Lake - Iron,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
189,Water Quality,Groundwater,Discharge To Lake - Nitrogen,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
190,Water Quality,Groundwater,Discharge To Lake - Phosphorus,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
191,Water Quality,Groundwater,Discharge To Lake - Turbidity,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
192,Water Quality,Groundwater,Discharge To Lake- Grease And Oil,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
193,Water Quality,Nearshore (Littoral) Lake Tahoe,Littoral Iron Loading - Pp & Periphyton,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
194,Water Quality,Nearshore (Littoral) Lake Tahoe,Littoral Nitrogen  Loading Atmospheric Sources,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
195,Water Quality,Nearshore (Littoral) Lake Tahoe,Littoral Nitrogen  Loading Groundwater,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
196,Water Quality,Nearshore (Littoral) Lake Tahoe,Littoral Nitrogen Loading Surface Runoff,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
197,Water Quality,Nearshore (Littoral) Lake Tahoe,Littoral Nitrogen Loading - Pp & Periphyton,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
198,Water Quality,Nearshore (Littoral) Lake Tahoe,Littoral Phosphorus Loading - Pp & Periphyton,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
199,Water Quality,Nearshore (Littoral) Lake Tahoe,Littoral Total Dissolved Inorganic Nitrogen (DIN) Loading,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
200,Water Quality,Nearshore (Littoral) Lake Tahoe,Nearshore Turbidity (No Stream Influence),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,At or Somewhat Better Than Target,Insufficient Data to Determine Trend,Moderate,At or Somewhat Better Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Insufficient Data to Determine Trend,Moderate
201,Water Quality,Nearshore (Littoral) Lake Tahoe,Nearshore Turbidity (Stream Influence),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,At or Somewhat Better Than Target,Insufficient Data to Determine Trend,Moderate,At or Somewhat Better Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Insufficient Data to Determine Trend,Moderate
202,Water Quality,Other Lakes,Attain Existing Water Quality Standards,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
203,Water Quality,Surface Runoff,Nitrogen Concentration (Surface Runoff),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Moderate,Insufficient Data to Determine Status or No Target Established,Rapid Improvement,Moderate,Insufficient Data to Determine Status or No Target Established,Rapid Improvement,Moderate
204,Water Quality,Surface Runoff,Fine Sediment Particles (FSP) Load (Surface Runoff),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,,,,,,
205,Water Quality,Surface Runoff,Iron Concentration (Surface Runoff),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
206,Water Quality,Surface Runoff,Total Nitrogen Load (Surface Runoff),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
207,Water Quality,Surface Runoff,Phosphorus Concentration (Surface Runoff),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Rapid Improvement,Moderate,Insufficient Data to Determine Status or No Target Established,Rapid Improvement,Moderate
208,Water Quality,Surface Runoff,Phosphorus Load (Surface Runoff),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
209,Water Quality,Surface Runoff,Suspended Sediment Concentration (Surface Runoff),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Moderate,Insufficient Data to Determine Status or No Target Established,Rapid Improvement,Moderate,Insufficient Data to Determine Status or No Target Established,Rapid Improvement,Moderate
210,Water Quality,Surface Runoff,Suspended Sediment Load (Surface Runoff),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,,,,,,
211,Water Quality,Tributaries,Nitrogen Concentration (Tributaries),Considerably Worse Than Target,Little or No Change,Moderate,,Little or No Change,Moderate,Somewhat Worse Than Target,Moderate Improvement,Moderate,Insufficient Data to Determine Status or No Target Established,Moderate Improvement,High
212,Water Quality,Tributaries,Iron Concentration (Tributaries),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
213,Water Quality,Tributaries,Nitrogen Load (Tributaries),Insufficient Data to Determine Status or No Target Established,Little or No Change,,Insufficient Data to Determine Status or No Target Established,Little or No Change,Moderate,,,,,,
214,Water Quality,Tributaries,Phosphorus Concentration (Tributaries),Considerably Worse Than Target,Moderate Improvement,Moderate,Insufficient Data to Determine Status or No Target Established,Moderate Improvement,Moderate,Considerably Worse Than Target,Moderate Improvement,Moderate,Considerably Worse Than Target,Moderate Improvement,Moderate
215,Water Quality,Tributaries,Phosphorus Load (Tributaries),Insufficient Data to Determine Status or No Target Established,Little or No Change,Moderate,Insufficient Data to Determine Status or No Target Established,Moderate Improvement,Moderate,,,,,,
216,Water Quality,Tributaries,Suspended Sediment Concentration (Tributaries),Somewhat Worse Than Target,Moderate Improvement,Moderate,Considerably Better Than Target,Moderate Improvement,Moderate,Considerably Better Than Target,Little or No Change,Low,Considerably Better Than Target,Moderate Improvement,High
217,Water Quality,Tributaries,Suspended Sediment Load (Tributaries),Insufficient Data to Determine Status or No Target Established,Little or No Change,Moderate,Insufficient Data to Determine Status or No Target Established,Moderate Improvement,Low,,,,,,
218,Wildlife,Habitats of Special Significance,Riparian Habitat,,,,,,,,,,,,
219,Wildlife,Special Interest Species,Nesting Bald Eagle Disturbance-Free Zone,,,,,,,,,,,,
220,Wildlife,Special Interest Species,Nesting Bald Eagle Population Sites,At or Somewhat Better Than Target,Little or No Change,High,At or Somewhat Better Than Target,Little or No Change,Moderate,Considerably Better Than Target,Little or No Change,High,Considerably Better Than Target,Rapid Improvement,High
221,Wildlife,Special Interest Species,Wintering Bald Eagle Disturbance-Free Zone,,,,,,,,,,,,
222,Wildlife,Special Interest Species,Wintering Bald Eagle Population Sites,Insufficient Data to Determine Status or No Target Established,Moderate Improvement,Low,Considerably Better Than Target,Rapid Improvement,Low,Considerably Better Than Target,Rapid Improvement,High,Considerably Better Than Target,Rapid Improvement,High
223,Wildlife,Special Interest Species,Deer Disturbance-Free Zone,,,,,,,,,,,,
224,Wildlife,Special Interest Species,Golden Eagle Disturbance-Free Zone,,,,,,,,,,,,
225,Wildlife,Special Interest Species,Golden Eagle Population Sites,Insufficient Data to Determine Status or No Target Established,Little or No Change,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low
226,Wildlife,Special Interest Species,Northern Goshawk Disturbance-Free Zone,,,,,,,,,,,,
227,Wildlife,Special Interest Species,Northern Goshawk Population Sites,Somewhat Worse Than Target,Little or No Change,Moderate,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low
228,Wildlife,Special Interest Species,Osprey Disturbance-Free Zone,,,,,,,,,,,,
229,Wildlife,Special Interest Species,Osprey Population Sites,Considerably Better Than Target,Moderate Improvement,High,Considerably Better Than Target,Rapid Improvement,Moderate,Considerably Better Than Target,Rapid Improvement,High,Considerably Better Than Target,Moderate Improvement,Moderate
230,Wildlife,Special Interest Species,Peregrine Falcon Population Sites,At or Somewhat Better Than Target,Moderate Improvement,Moderate,Considerably Better Than Target,Rapid Improvement,Moderate,Considerably Better Than Target,Moderate Improvement,High,Considerably Better Than Target,Rapid Improvement,High
231,Wildlife,Special Interest Species,Peregrine Falcon Disturbance-Free Zone,,,,,,,,,,,,
232,Wildlife,Special Interest Species,Waterfowl Disturbance-Free Zone,,,,,,,,,,,,
233,Wildlife,Special Interest Species,Waterfowl Population Sites,Somewhat Worse Than Target,Moderate Improvement,Low,Somewhat Worse Than Target,Little or No Change,Low,At or Somewhat Better Than Target,Insufficient Data to Determine Trend,Low,At or Somewhat Better Than Target,Little or No Change,Low
235,Water Quality,Tributaries,Fine Sediment Load (Tributaries),Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Little or No Change,Moderate,,,,,,
250,Fisheries,Stream Habitat,Stream Habitat Condition,Somewhat Worse Than Target,Little or No Change,Moderate,Somewhat Worse Than Target,Little or No Change,Moderate,At or Somewhat Better Than Target,Moderate Improvement,Moderate,Somewhat Worse Than Target,Little or No Change,High
251,Water Quality,Nearshore (Littoral) Lake Tahoe,Phytoplankton Primary Productivity (Littoral),,,,,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,Low
252,Water Quality,Nearshore (Littoral) Lake Tahoe,Littoral Periphyton Biomass,,,,Insufficient Data to Determine Status or No Target Established,Little or No Change,Low,Insufficient Data to Determine Status or No Target Established,Little or No Change,Moderate,Insufficient Data to Determine Status or No Target Established,Little or No Change,Moderate
253,Water Quality,Load Reductions,Reduce Fine Sediment Particle Load,,,,,,,Considerably Better Than Target,Moderate Improvement,Moderate,At or Somewhat Better Than Target,Moderate Improvement,Moderate
254,Water Quality,Load Reductions,Reduce Total Annual Phosphorus Load,,,,,,,Considerably Better Than Target,Rapid Improvement,Moderate,At or Somewhat Better Than Target,Moderate Improvement,Moderate
255,Water Quality,Load Reductions,Reduce Total Annual Nitrogen Load,,,,,,,Considerably Better Than Target,Rapid Improvement,Moderate,At or Somewhat Better Than Target,Moderate Improvement,Moderate
256,Water Quality,Load Reductions,Decrease Total Annual Suspended Sediment Load,,,,,,,Insufficient Data to Determine Status or No Target Established,Rapid Improvement,Moderate,At or Somewhat Better Than Target,Moderate Improvement,Moderate
257,Water Quality,Load Reductions,Reduce Loading of Dissolved Phosphorus,,,,,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
258,Water Quality,Load Reductions,Reduce Loading of Iron,,,,,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
259,Water Quality,Load Reductions,Reduce Loading of Other Algal Nutrients,,,,,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
260,Water Quality,Load Reductions,Reduce Dissolved Inorganic Nitrogen Loads,,,,,,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,,Insufficient Data to Determine Status or No Target Established,Insufficient Data to Determine Trend,
261,Transportation and Sustainable Communities,Transportation and Sustainable Communities,Vehicles Miles Traveled per Capita,,,,,,,,,,At or Somewhat Better Than Target,Little or No Change,Moderate
295,Vegetation Preservation,Sensitive Plants,Tahoe Yellow Cress (Rorippa Subumbellata) Updated 2024,,,,,,,,,,At or Somewhat Better Than Target,,Moderate
296,Water Quality,Aquatic Invasive Species,No Active Aquatic Invasive Plant Infestations,,,,,,,,,,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Moderate
297,Water Quality,Aquatic Invasive Species,Reduce Average Aquatic Invasive Plant Abundance in the Tahoe Keys,,,,,,,,,,Considerably Worse Than Target,Insufficient Data to Determine Trend,Moderate
298,Soil Conservation,Stream Environment Zone,Wetland Restoration,,,,,,,,,,Somewhat Worse Than Target,Insufficient Data to Determine Trend,Moderate
